Docência do Ensino Superior
Literatura Infantojuvenil NOVO
Educação Especial com ênfase em Comunicação NOVO
Educação Especial Inclusiva: Ênfase em Autismo NOVO
Metodologia e Prática em Educação Infantil NOVO
Psicanálise dos Contos de Fadas NOVO
Pedagogia Social e Gestão de Projetos Sociais NOVO
Docência da Educação Ambiental para a Cidadania e Sustentabilidade NOVO
Informática Educativa NOVO
"Gestão Escolar Integrada com ênfase em administração, supervisão, orientação e inspeção escolar NOVO"
Educação Especial e Inclusiva com ênfase em Paralisia Cerebral NOVO
Gestão Competitiva no Varejo com Habilitação em Docência no Ensino Superior NOVO
Gestão de Petróleo e Gás com Habilitação em Docência no Ensino Superior NOVO
Gestão Pública com Habilitação em Docência no Ensino Superior NOVO
Meio Ambiente e Organizações Empresariais e Sociais com Habilitação em Docência no Ensino Superior NOVO
"Administração, Finanças e Negócios com Habilitação em Docência no Ensino Superior NOVO"
Gestão Administrativa e Marketing com Habilitação em Docência no Ensino Superior NOVO
"Gestão Estratégica, Inovação e Conhecimento com Habilitação em Docência no Ensino Superior NOVO"
"Empreendedorismo, Marketing e Finanças com Habilitação em Docência no Ensino Superior NOVO"
Gestão Estratégica da Produção e Manutenção com Habilitação em Docência no Ensino Superior NOVO
Administração Aplicada a Gestão Empresarial com Habilitação em Docência no Ensino Superior NOVO
Gestão de Pessoas com Habilitação em Docência no Ensino Superior NOVO
Gestão de Negócios com Ênfase em Finanças e Habilitação em Docência no Ensino Superior NOVO
Gestão de Logística e Cadeia de Suprimentos com Habilitação em Docência no Ensino Superior NOVO
Gestão de Qualidade e Produtividade com Habilitação em Docência no Ensino Superior NOVO
Gestão Ambiental com Ênfase em Auditoria e Perícia e Habilitação em Docência no Ensino Superior NOVO
Gestão de Projetos com Habilitação em Docência no Ensino Superior NOVO
Gestão Estratégica e Econômica de Negócios com Habilitação em Docência no Ensino Superior NOVO
Empreendedorismo e Gestão de Novos Negócios com Habilitação em Docência no Ensino Superior NOVO
Gestão Empreendedora com Habilitação em Docência no Ensino Superior NOVO
Psicologia nas Organizações com Habilitação em Docência no Ensino Superior NOVO
Administração Estratégica com Habilitação em Docência no Ensino Superior NOVO
Administração Financeira com Habilitação em Docência no Ensino Superior NOVO
Empreendedorismo e Desenvolvimento de Novos Negócios com Habilitação em Docência no Ensino Superior NOVO
"Gestão de Negócios, Inovação e Empreendedorismo com Habilitação em Docência no Ensino Superior NOVO"
"Gestão de Operações, Produtos e Serviços com Habilitação em Docência no Ensino Superior NOVO"
Gestão Empresarial com Habilitação em Docência no Ensino Superior NOVO
Inteligência de Mercado com Habilitação em Docência no Ensino Superior NOVO
Planejamento Estratégico de Marketing no Varejo com Habilitação em Docência no Ensino Superior NOVO
Gestão Operacional e Logística com Habilitação em Docência no Ensino Superior NOVO
Comércio Exterior com Habilitação em Docência no Ensino Superior NOVO
Negociação em Vendas com Habilitação em Docência no Ensino Superior NOVO
Gestão e Liderança de Equipes com Habilitação em Docência no Ensino Superior NOVO
Gestão de Logística e Cadeia de Valor com Habilitação em Docência no Ensino Superior NOVO
Comunicação Empresarial e Institucional com Habilitação em Docência no Ensino Superior NOVO
Comportamento Organizacional e Gestão de Pessoas com Habilitação em Docência no Ensino Superior NOVO
Gestão em Administração Financeira e Orçamentária com Habilitação em Docência no Ensino Superior NOVO
Gestão Estratégica de Negócios com Habilitação em Docência no Ensino Superior NOVO
Finanças Corporativas e Mercado Financeiro com Habilitação em Docência no Ensino Superior NOVO
Gestão de Riscos Corporativos com Habilitação em Docência no Ensino Superior NOVO
Gestão de Recursos Humanos com Habilitação em Docência no Ensino Superior NOVO
Comércio Exterior com Ênfase em Importação e Habilitação em Docência no Ensino Superior NOVO
Comércio Exterior com Ênfase em Exportação e Habilitação em Docência no Ensino Superior NOVO
Desenvolvimento Humano em Gestão de Projetos com Habilitação em Docência no Ensino Superior NOVO
Gestão de Custos e Planejamento Estratégico com Habilitação em Docência no Ensino Superior NOVO
Gestão Estratégica de Compras com Habilitação em Docência no Ensino Superior NOVO
Gestão Estratégica de Pessoas e Psicologia Organizacional com Habilitação em Docência no Ensino Superior NOVO
Gestão da Produção com Habilitação em Docência no Ensino Superior NOVO
NOVO
Gestão Estratégica de Pessoas com Habilitação em Docência no Ensino Superior NOVO
Relações Internacionais com Habilitação em Docência no Ensino Superior NOVO
Gestão Estratégica de Pessoas: Desenvolvimento Humano de Gestores com Habilitação em Docência no Ensino Superior NOVO
Gestão Financeira com Habilitação em Docência no Ensino Superior NOVO
Marketing Digital e Negócios Interativos com Habilitação em Docência no Ensino Superior NOVO
"Contabilidade, Auditoria e Perícia com Habilitação em Docência no Ensino Superior NOVO"
Marketing Estratégico com Habilitação em Docência no Ensino Superior NOVO
Gestão de Pessoas e Educação Corporativa com Habilitação em Docência no Ensino Superior NOVO
Gestão da Produção e Logística com Habilitação em Docência no Ensino Superior NOVO
Pedagogia Empresarial e Educação Corporativa com Habilitação em Docência no Ensino Superior NOVO
Liderança nas Organizações com Habilitação em Docência no Ensino Superior NOVO
Gestão em Administração e Marketing com Habilitação em Docência no Ensino Superior NOVO
Engenharia Civil com Ênfase em Tecnologia da Construção e Habilitação em Docência no Ensino Superior NOVO
Engenharia da Qualidade com Habilitação em Docência no Ensino Superior NOVO
Engenharia de Produção com Habilitação em Docência no Ensino Superior NOVO
Engenharia de Suprimentos com Habilitação em Docência no Ensino Superior NOVO
Engenharia Elétrica: Sistemas de Potência com Habilitação em Docência no Ensino Superior NOVO
NOVO
Engenharia e Gerenciamento de Manutenção com Habilitação em Docência no Ensino Superior NOVO
Engenharia Ambiental com Habilitação em Docência no Ensino Superior NOVO
Engenharia Elétrica com Habilitação em Docência no Ensino Superior NOVO
Engenharia de Segurança Contra Incêndio e Pânico com Habilitação em Docência no Ensino Superior NOVO
Engenharia de Produção com ênfase em Gestão e Habilitação em Docência no Ensino Superior NOVO
Enfermagem do Trabalho e Saúde Ocupacional com Habilitação em Docência no Ensino Superior NOVO
Gestão em Saúde da Família com Habilitação em Docência no Ensino Superior NOVO
Saúde Coletiva e Comunitária com Habilitação em Docência no Ensino Superior NOVO
Saúde Pública com Habilitação em Docência no Ensino Superior NOVO
Higiene Laboral com Habilitação em Docência no Ensino Superior NOVO
Assistência Social e Saúde Pública com Habilitação em Docência no Ensino Superior NOVO
Inteligência Policial com Habilitação em Docência no Ensino Superior NOVO
Políticas de Segurança Pública com Habilitação em Docência no Ensino Superior NOVO
Direito Ambiental com Habilitação em Docência no Ensino Superior NOVO
Direito do Trabalho com Habilitação em Docência no Ensino Superior NOVO
Direito Previdenciário com Habilitação em Docência no Ensino Superior NOVO
Direito Processual Penal com Habilitação em Docência no Ensino Superior NOVO
Direito Tributário com Habilitação em Docência no Ensino Superior NOVO
Direito Processual Civil com Habilitação em Docência no Ensino Superior NOVO
Direito Eleitoral com Habilitação em Docência no Ensino Superior NOVO
Direito Constitucional com Habilitação em Docência no Ensino Superior NOVO
Direito Público com Habilitação em Docência no Ensino Superior NOVO
Direito do Consumidor com Habilitação em Docência no Ensino Superior NOVO
Direito Empresarial com Habilitação em Docência no Ensino Superior NOVO
Gestão Ambiental com Habilitação em Docência no Ensino Superior NOVO
Negócios Internacionais e Comércio Exterior com Habilitação em Docência no Ensino Superior NOVO
Relacionamento Interpessoal com Habilitação em Docência no Ensino Superior NOVO
Gestão Estratégica de Vendas com Habilitação em Docência no Ensino Superior NOVO
